id,customer_id,order_number,total_amount,status,order_date
1,4305132,order_number_b6be96e1,72383.49,status_dcbc0c6,2022-02-24
2,9599919,order_number_58377ca8,19877.18,status_4fcf096c,2024-04-19
3,4696676,order_number_a0878cf9,33700.60,status_93c327bf,2025-09-12
4,3842372,order_number_8e0dd2f7,71779.50,status_5bfeb05,2020-01-23
5,4997909,order_number_d86502a1,28630.48,status_dbf2d9f9,2017-05-21
6,5486465,order_number_b3279a5b,47081.08,status_ced6f679,2024-12-02
7,6903207,order_number_d31b6797,85348.55,status_4bb18859,2024-11-02
8,4300336,order_number_8ddbbf82,52119.54,status_8a7332fd,2016-05-15
9,3329276,order_number_b982569b,42184.12,status_e97a57d9,2024-06-19
10,2402898,order_number_99440c72,72080.91,status_9f778fdf,2023-07-16
11,9549100,order_number_92fa609c,17122.51,status_87547cb3,2022-01-01
12,7937976,order_number_8231df7e,64853.34,status_947f8e04,2018-07-15
13,4371568,order_number_32c7bb2f,19634.58,status_a54391cb,2022-01-18
14,559354,order_number_8970fdd7,99567.21,status_aa3d7db2,2024-02-05
15,5834526,order_number_9688cffd,22558.74,status_72ba58e4,2023-01-20
16,1932037,order_number_b58d7da9,6838.23,status_90125713,2021-07-25
17,7875514,order_number_4053c0e1,48789.56,status_9d064b3c,2019-10-30
18,590902,order_number_2d96f2f5,67069.64,status_7869bfe,2025-10-05
19,57220,order_number_77c3a0ec,16790.52,status_31262b9d,2016-06-23
20,9098087,order_number_7d4227b2,55233.47,status_63985fe1,2016-10-31
21,396094,order_number_21ff7496,67545.61,status_6da5f212,2024-01-11
22,3972109,order_number_e10602de,67681.67,status_b32716e4,2022-02-07
23,7629096,order_number_c07593b4,90711.82,status_43bbbeb5,2022-03-05
24,2200371,order_number_b29ab7e,48581.02,status_7012379e,2019-06-20
25,2909333,order_number_3386d614,78728.60,status_bf5c5456,2021-06-22
26,6322866,order_number_7646bbbf,63626.09,status_359af3,2021-07-25
27,8405945,order_number_748897d2,44339.91,status_cf19bcf1,2021-11-08
28,3589645,order_number_93f74dba,63954.02,status_dd24ebf2,2020-10-17
29,4087150,order_number_80932cb9,96124.91,status_f53f7921,2019-10-19
